feature,summary,sample,x,y,sample_text
9912,"Rivers, Global Locations, Various Countries","""The Brazeau River is a river in western Alberta, Canada.""",7.878262,5.119443,"The Brazeau River is a river in western Alberta, Canada."
9913,"Subject Mentioned, State or Condition","""This village looks very beautiful.""",8.920912,1.8263489,This village looks very beautiful.
9914,"Audio Technology, Sound Design, Audiovisual Industry","""For Sound was released in 2009.""",9.2675,-0.13887377,For Sound was released in 2009.
9915,"Places named ""Down(s)"" or associated with individuals named ""Downton"" or ""Downey""","""The Downs Point Formation is a formation cropping out in Newfoundland.""",7.264756,3.2377279,The Downs Point Formation is a formation cropping out in Newfoundland.
9916,"Produced, Composed, Varied Themes","""The song was produced by 6ix.""",10.012405,-0.6672218,The song was produced by 6ix.
9917,"Operates, Influences, Competition, Production, Historical Events","""It operates sightseeing tours and scheduled passenger service over and around the Grand Canyon.""",12.639018,6.5987244,It operates sightseeing tours and scheduled passenger service over and around the Grand Canyon.
9918,"Geographic Locations, Historical Figures, Academic Subjects","""Gennadi Berulava became head of Abkhazia's State Security Service after the outbreak of the 1992-1993 war with Georgia.""",11.451335,7.159223,Gennadi Berulava became head of Abkhazia's State Security Service after the outbreak of the 1992-1993 war with Georgia.
9919,"Open Tournaments or Events, Various Sports, Diverse Locations","""It was the first event of the 2005 US Open series.""",11.411276,1.4023535,It was the first event of the 2005 US Open series.
9920,"Locations in Louisiana and Tennessee, with focus on Memphis.","""It takes place at the Sun Studio in Memphis.""",9.551844,6.89939,It takes place at the Sun Studio in Memphis.
9921,"Entertainment, Exclamation Marks, Various Titles (with exclamation marks)","""It features E!""",9.011211,1.1220965,It features E!
9922,"Multi-genre Music, Bluegrass Influence, Instrumental Talent","""It played a mix of classical, traditional bluegrass, jazz, and commentary.""",9.524345,-0.853789,"It played a mix of classical, traditional bluegrass, jazz, and commentary."
9923,Political parties and congresses,"""A majority of the members belong to the African National Congress.""",13.742175,2.8924124,A majority of the members belong to the African National Congress.
9924,"Town, Locations, Various Regions","""This article describes the New Jersey town.""",6.4063153,3.1978643,This article describes the New Jersey town.
9925,"Film, Production, Appearances","""He has directed 15 films since 1989.""",10.748977,0.38519016,He has directed 15 films since 1989.
9926,"City, Urban Context, History","""Many American cultural movements first emerged in the city.""",6.5595326,3.1902568,Many American cultural movements first emerged in the city.
9927,"New York, Sports, Metropolitan, Various Professions","""METAFIVE is a Japanese supergroup.""",12.076022,7.954435,METAFIVE is a Japanese supergroup.
9928,San Marino-Related Topics,"""This is a list of supermarket chains in San Marino.""",12.254482,7.8270044,This is a list of supermarket chains in San Marino.
9929,"Famous Individuals or Entities, Notable Associations, Prominence in Media or Culture","""Famous is the second solo studio album by American rapper 8Ball.""",8.81038,1.9507262,Famous is the second solo studio album by American rapper 8Ball.
9930,"Individuals named Charles, Various Contexts","""Charles had long held plans to conquer Friesland.""",9.510447,7.810062,Charles had long held plans to conquer Friesland.
9931,"Geographical Locations, Cultural Artifacts, Entertainment Entities, Historical Events, and Fictional Entities","""Globally, Seaga has locations in Mexico and India.""",10.806761,7.9997377,"Globally, Seaga has locations in Mexico and India."
9932,"Release Dates (or Releases), Media Types (Album, Song, Video), Dates of Release (2005-2014, 2007-2013, 2008-2012, etc.)","""The album was released August 21, 2007.""",11.591394,-0.70584625,"The album was released August 21, 2007."
9933,"Popular Music Compositions, Performances, and Recordings","""It has a Roud Folk Song Index number of 2768.""",10.102013,-0.42695084,It has a Roud Folk Song Index number of 2768.
9934,"Transition or Change, Present Location, Professional Transformation","""It is now internet only.""",10.529182,1.7062906,It is now internet only.
9935,"Individuals, Locations, Species, Historical Entities","""Sita as Piratti is the consort.""",10.6111965,7.8798456,Sita as Piratti is the consort.
9936,"Empirical Research, Scientific Methods, Knowledge Acquisition","""At the end of this phase, both parties compare the empirical findings with their initial assumptions.""",9.73662,3.462265,"At the end of this phase, both parties compare the empirical findings with their initial assumptions."
9937,"Individuals (Actors, Actresses, Activist, Politicians, Filmmaker, Fitness Expert, Athlete, Referee)","""Kristin Minter (born November 22, 1965) is an American actress.""",11.102708,9.271395,"Kristin Minter (born November 22, 1965) is an American actress."
9938,"Dry or Arid Environments, Products, and Phenomena","""The company also produces several varieties of dry snuff.""",7.2833333,7.099933,The company also produces several varieties of dry snuff.
9939,"Institutions, Namesakes, Historical Figures/Entities","""It is dedicated to Saint Clement of Rome.""",8.069482,2.4109821,It is dedicated to Saint Clement of Rome.
9940,Geographic Locations within Districts or Counties,"""The town is on the northern border of the county.""",6.95302,8.478482,The town is on the northern border of the county.
9941,"People, Names, Connections","""Matthew Bauer is an American painter, sculptor and musician.""",9.477457,8.770134,"Matthew Bauer is an American painter, sculptor and musician."
9942,Originally From/Based On,"""The medieval building was originally a collegiate church.""",9.553915,1.1643718,The medieval building was originally a collegiate church.
9943,Night-related Titles or Topics,"""Night Ark released on June 20, 2000.""",11.303798,1.1720695,"Night Ark released on June 20, 2000."
9944,"Bulgaria, Historical Events, Geographical Locations, Sports","""First official match played in Prague against Bulgaria in August 2008.""",9.835918,9.031904,First official match played in Prague against Bulgaria in August 2008.
9945,"Group, Member, Number","""It initially include six singers and musicians.""",7.5379605,1.1999543,It initially include six singers and musicians.
9946,Deaths or Loss of Life Among Passengers and Crew,"""Everyone on board was killed.""",10.629653,3.1090117,Everyone on board was killed.
9947,"Television, Broadcasting, Media Industry","""Robertson is no longer working in television.""",11.23974,0.22374444,Robertson is no longer working in television.
9948,Album Transition and Personnel Changes,"""This is their first album with guitarist Larry Carlton.""",10.051828,-0.84811133,This is their first album with guitarist Larry Carlton.
9949,Banks and Financial Institutions,"""The bank had 12 branches in addition to its headquarters in Rome.""",10.351098,4.088657,The bank had 12 branches in addition to its headquarters in Rome.
9950,"American, Rapper, Discography","""Project English is the fifth studio album by American rapper Juvenile.""",10.050427,-0.83253133,Project English is the fifth studio album by American rapper Juvenile.
9951,"International, Organizations, Animal, Health, World","""Animals Australia is an Australian animal protection organization.""",10.457939,4.4342175,Animals Australia is an Australian animal protection organization.
9952,"Businesses, History, Miscellaneous (or Various) Topics","""More businesses also line University Avenue.""",12.3003645,5.6723466,More businesses also line University Avenue.
9953,Arrow-Related Entities,"""The Arrows version was also produced by Phil Coulter.""",11.18953,6.1320405,The Arrows version was also produced by Phil Coulter.
9954,Places and Names Origin/Change,"""She has left Bermuda and Patrick Foster has assumed the duties of her role.""",7.1345363,3.6940348,She has left Bermuda and Patrick Foster has assumed the duties of her role.
9955,"Interest-Free Offerings, Exceptions, Unusual Characteristics","""However, all offer loans without interest.""",8.82734,1.9848914,"However, all offer loans without interest."
9956,"Love, Connection, Diversity","""Marry The Night.""",8.955404,1.4650801,Marry The Night.
9957,Facility Provision,"""Both stations offered passengers and goods facilities.""",8.976106,3.1532922,Both stations offered passengers and goods facilities.
9958,"Elected Local Leaders, Titles, Historical Continuity","""He was declared mayor.""",14.477913,2.9659417,He was declared mayor.
9959,"People, Names, Varied Professions","""Clifford Trent Robinson (born March 13, 1960) is a retired American professional basketball player.""",9.372256,6.834419,"Clifford Trent Robinson (born March 13, 1960) is a retired American professional basketball player."
9960,"Public Figures, Relationships, Careers, and Education","""Love Child which she also wrote and produced.""",8.484158,-0.396269,Love Child which she also wrote and produced.
9961,"Competitive Victories, Sports Achievements, Career Wins","""Between 1997 and 2002, he won seven caps and scored two goals for his country.""",12.864067,2.3963158,"Between 1997 and 2002, he won seven caps and scored two goals for his country."
9962,"Iconic Cultural Artifacts, Notable Rankings, Record-Breaking Achievements","""It is No. 472 on Rolling Stone's list of the 500 Greatest Songs of All Time, compiled in 2010.""",9.8757,-1.2403091,"It is No. 472 on Rolling Stone's list of the 500 Greatest Songs of All Time, compiled in 2010."
9963,"Deaths and Losses, Accidents, Violence","""At least 47 people were killed.""",10.674078,3.0265543,At least 47 people were killed.
9964,"Authored Publications, Various Topics","""Kumar has authored several articles and books.""",10.393388,0.7469022,Kumar has authored several articles and books.
9965,"Individuals named Lynch, Varied Locations","""Lynch was born in Galway and educated at New Inn Hall, Oxford.""",9.442465,7.233705,"Lynch was born in Galway and educated at New Inn Hall, Oxford."
9966,"Multi-Component Systems, Comparison, Connectedness","""A three party coalition government was formed consisting of the incumbent Siumut and Solidarity parties alongside the Democrats.""",8.200954,1.7958862,A three party coalition government was formed consisting of the incumbent Siumut and Solidarity parties alongside the Democrats.
9967,"Mobile Games, Release Dates, Platforms","""An app version of the game has also been created.""",8.494584,3.586982,An app version of the game has also been created.
9968,"Max, Namesakes, Extremes (Maximums, Maxim(s), Maximus)","""It is now known as Catholic Charities' Max Hale Center.""",7.8625684,2.784402,It is now known as Catholic Charities' Max Hale Center.
9969,"First, Debuts or Beginnings","""This was Engineer's first film.""",11.964141,2.536262,This was Engineer's first film.
9970,"Sharks, Sports, Entertainment","""Their last match was against the Sharks at Toyota Stadium.""",9.083543,6.6456904,Their last match was against the Sharks at Toyota Stadium.
9971,"Individuals, Retirement Dates, Professions","""He retired 8 January 1947.""",12.449271,2.1785004,He retired 8 January 1947.
9972,Year-specific Events or Launches,"""In 1983, Zampatti launched her first perfume, 'Carla'.""",12.54162,1.2816987,"In 1983, Zampatti launched her first perfume, 'Carla'."
9973,"Aviation Design, Product Development, Business Transitions","""It was originally produced by Yesteryear Aviation and later by Aerotique Aviation.""",10.093578,1.3684351,It was originally produced by Yesteryear Aviation and later by Aerotique Aviation.
9974,Japan-based releases or connections,"""It was released in 2004 in Japan.""",11.740557,9.764961,It was released in 2004 in Japan.
9975,"Events, Entities, or Things Associated with Outcomes","""The film won for Best Actor.""",9.339478,1.2437569,The film won for Best Actor.
9976,"Switzerland, Locations, Historical Events","""The following page lists power stations in Switzerland.""",9.624577,7.4002857,The following page lists power stations in Switzerland.
9977,"Dependency or Reliance, Interdependence, Dependent Relationships","""It was directly dependent on the Holy See.""",8.9363365,2.6517358,It was directly dependent on the Holy See.
9978,"Companies, Firms, Organizations (Change, Close, Form)","""The firm dissolved in 1917.""",12.445228,0.96565694,The firm dissolved in 1917.
9979,"Astronomical Events, Contract Exceptions, Partial Entities","""A partial solar eclipse occurred on December 12, 1909.""",9.964496,5.8004217,"A partial solar eclipse occurred on December 12, 1909."
9980,Australian/Indian/South African Connections,"""Clipsal is an Australian brand of electrical accessories.""",10.504653,8.053159,Clipsal is an Australian brand of electrical accessories.
9981,Media Production Locations and Collaborations,"""It was developed by Toylogic.""",9.864132,0.5121316,It was developed by Toylogic.
9982,Ministries and Government Agencies,"""After this he returned to the Ministry of Justice.""",12.399535,3.1802423,After this he returned to the Ministry of Justice.
9983,Born individuals (from various countries and professions),"""Mauwa was born in 1959.""",12.752218,7.4760365,Mauwa was born in 1959.
9984,"Television Actors and Actresses, Various Roles, Multiple Series","""She is known for her role as Hadley on the HBO television series True Blood.""",10.773457,0.2473647,She is known for her role as Hadley on the HBO television series True Blood.
9985,"Assumption of Authority, Uncertainty, Historical Context","""She assumes command of the fleet.""",9.534246,2.221306,She assumes command of the fleet.
9986,Missouri-Related Topics,"""Missouri voted unanimously for the Democratic Party candidate, Andrew Jackson.""",11.859662,8.57359,"Missouri voted unanimously for the Democratic Party candidate, Andrew Jackson."
9987,Individuals and Locations (Global Perspective),"""Auld appeared.""",10.246544,8.0152,Auld appeared.
9988,"Professional athletes and sports figures, medical professionals, coaches, and musicians.","""Denis Bourdoncle (born October 15, 1964 in Libourne, France) is a former professional footballer.""",12.993272,6.9913077,"Denis Bourdoncle (born October 15, 1964 in Libourne, France) is a former professional footballer."
9989,"International Relations, Foreign Affairs, Diplomacy, Countries, Scholars","""White is on the membership roster of the Council on Foreign Relations.""",11.655622,3.4609082,White is on the membership roster of the Council on Foreign Relations.
9990,Academics/Professors across various disciplines,"""Birgit Krawietz is professor of Islamic Studies.""",12.2464285,3.8387277,Birgit Krawietz is professor of Islamic Studies.
9991,"Locations, Churches, Educational Institutions","""Its county seat is St. George.""",10.504277,5.977942,Its county seat is St. George.
9992,"Belongs to, Political Affiliation, Geographical Location, Scientific Classification","""She belongs to Communist Party of India.""",7.3852444,3.5110557,She belongs to Communist Party of India.
9993,"Events, Debuts, Establishments (or Foundations)","""It took place on 14 September 1997 at the Circuit de Catalunya.""",12.772509,0.8724528,It took place on 14 September 1997 at the Circuit de Catalunya.
9994,Databases (Software Systems),"""For other databases (NoSQL) it uses proprietary database drivers.""",9.020354,3.4657984,For other databases (NoSQL) it uses proprietary database drivers.
9995,"Places Named After Individuals (British, Australian, English)","""For the community in British Columbia, Canada, see Goodlow, British Columbia.""",8.86251,7.400941,"For the community in British Columbia, Canada, see Goodlow, British Columbia."
9996,"Geographic Entities, People, and Associated Activities","""Asim Bala is an Indian politician.""",9.68908,9.09165,Asim Bala is an Indian politician.
9997,"Royal Air Force (RAF), World War(s) History, Air Squadrons","""Aircraft were moved to RAF Scopwick in October 1918.""",11.083217,6.0387053,Aircraft were moved to RAF Scopwick in October 1918.
9998,"Buildings, People, Creativity (or Art)","""In 1943, the original building burned.""",8.94498,5.2937207,"In 1943, the original building burned."
9999,Career Beginnings,"""She started her show business career in Princess Sarah in 2007.""",8.583672,-0.5783999,She started her show business career in Princess Sarah in 2007.
10000,Fourteen Repeated Occurrences,"""England won his 14th title.""",14.431449,6.230117,England won his 14th title.
10001,"Individuals, Various Occupations, Global Locations","""John Kelly (born in London, UK in 1965) is an Australian artist.""",11.141419,9.297368,"John Kelly (born in London, UK in 1965) is an Australian artist."
10002,"Moths, Places, Mythology/Historical Figures","""Aphonia means \""no sound\"".""",11.535644,7.2462115,"Aphonia means ""no sound""."
10003,"Place or Area Named After Historical Figure, Geographical Feature, or Significant Event","""Mount Erie was named in 1841 by the Wilkes Expedition for the Battle of Lake Erie.""",8.563395,0.5860383,Mount Erie was named in 1841 by the Wilkes Expedition for the Battle of Lake Erie.
10004,Simple Mechanisms Explained,"""Explanations are also available in the same 56 languages.""",8.923465,3.74219,Explanations are also available in the same 56 languages.
10005,"People, Names, Artifacts (Albums, Books, Magazines, Forts, Knots, etc.)","""Bytches is the 1991 debut album by American female rap duo BWP.""",9.652175,7.8013253,Bytches is the 1991 debut album by American female rap duo BWP.
10006,"Individuals, Places, and Topics (Diverse Entities)","""Bitry is a commune in the Oise department in northern France.""",10.107897,8.431812,Bitry is a commune in the Oise department in northern France.
10007,"Sports Leagues, Timelines, Transformations","""League began 13 April 1985 and ended 22 September 1985.""",13.496778,4.073794,League began 13 April 1985 and ended 22 September 1985.
10008,"Hills, Locations, Names","""Most include more than one lift hill.""",8.482699,7.968397,Most include more than one lift hill.
10009,Place Names and Associations,"""He lives in Aalst.""",11.393197,7.3257895,He lives in Aalst.
10010,Planned Events or Actions,"""The song was produced and arranged by Rick James.""",10.231769,1.9442271,The song was produced and arranged by Rick James.
10011,"Schools, Namesakes, Mascots","""The school mascot is the Falcon.""",11.984297,4.170527,The school mascot is the Falcon.
10012,"Places, Ownership, Origins","""Boudinot is an American writer.""",9.973158,7.7914004,Boudinot is an American writer.
10013,"People, Places, Names (Buck)","""The Buck Stops Here.""",9.473424,9.090001,The Buck Stops Here.
10014,"Diamonds, Mining, and Associated Entities","""David Diamond is an American screenwriter.""",10.150557,9.966861,David Diamond is an American screenwriter.
10015,Automation and Management Systems,"""These processes are assisted by automated logistics management systems.""",9.233229,3.5482721,These processes are assisted by automated logistics management systems.
10016,Extended Releases/Editions,"""An extended edition was released on 20 October 2014.""",7.658877,2.4980552,An extended edition was released on 20 October 2014.
10017,"River, Location, History","""There are two businesses located directly on the river.""",7.9972997,5.2355237,There are two businesses located directly on the river.
10018,"Induction, Initiation, Interruption, Inquiry, Intrusion","""Intimate Apparel is a play written by Lynn Nottage.""",10.531311,4.6372237,Intimate Apparel is a play written by Lynn Nottage.
10019,Micropolitan/Metropolitan Statistical Area Affiliations,"""Eureka County is part of the Elko Micropolitan Statistical Area.""",7.028485,3.40582,Eureka County is part of the Elko Micropolitan Statistical Area.
10020,"Rubber, Tubes, Transportation","""Latex or rubber fetishists sometimes refer to themselves as \""rubberists\"".""",8.469454,4.831718,"Latex or rubber fetishists sometimes refer to themselves as ""rubberists""."
10021,Post-transition events or experiences,"""Hoelter himself has never been incarcerated.""",9.827839,1.7199169,Hoelter himself has never been incarcerated.
10022,"Salad, Geographical locations, Names","""A salad bar is a buffet-style table or counter at a restaurant or food market on which salad components are provided for customers to assemble their own salad plates.""",10.200061,7.066188,A salad bar is a buffet-style table or counter at a restaurant or food market on which salad components are provided for customers to assemble their own salad plates.
10023,Allegations and Misconduct,"""The allegations remain unproven.""",10.654398,3.1707518,The allegations remain unproven.
10024,"Unincorporated Communities, Geographical Locations, Various Entities (Villages, Schools, Prisons, etc.)","""Oakville is an unincorporated community in Monroe Township, Delaware County, Indiana.""",11.476285,6.264898,"Oakville is an unincorporated community in Monroe Township, Delaware County, Indiana."
10025,Geographically and Culturally Diverse Entities,"""Deborah Azrael is an American public health researcher.""",10.366494,7.478598,Deborah Azrael is an American public health researcher.
10026,Titles/Peerage Extinction Through Lack of Heirs,"""He was childless and the titles became extinct on his death in 1698.""",11.874051,2.3029244,He was childless and the titles became extinct on his death in 1698.
10027,"Unpleasant experiences, questionable practices, and evaluations","""The plant has an unpleasant scent.""",9.93044,3.0903358,The plant has an unpleasant scent.
10028,"Ancestral, Natural, Transient","""The postcaniniform teeth increase in size farther back in the jaws.""",9.368795,2.143135,The postcaniniform teeth increase in size farther back in the jaws.
10029,Variety of Applications Across Different Platforms,"""However neither Erlang nor OTP is specific to telecom applications.""",8.7563925,3.2891872,However neither Erlang nor OTP is specific to telecom applications.
10030,"Endocrine System, Hormone Regulation, Glands (or Glandular Systems)","""The thyroid makes hormones called T3 and T4 that regulate how the body uses energy.""",8.446053,4.3105416,The thyroid makes hormones called T3 and T4 that regulate how the body uses energy.
10031,Charges and Prosecutions,"""Despite recommendations from the police, the charges were not prosecuted.""",10.9256935,3.2742994,"Despite recommendations from the police, the charges were not prosecuted."
10032,Scoring Records and Leaders,"""As of today, Ramon Fernandez still leads the all-time scoring list.""",13.474253,3.7628477,"As of today, Ramon Fernandez still leads the all-time scoring list."
10033,"Obsolete, Replaced, Naming Conventions","""Handstyle can also be shortened to \""hand.\""""",8.83058,2.2582383,"Handstyle can also be shortened to ""hand."""
10034,"Arrangements, Music, Adaptations","""Elgar arranged this work for piano solo.""",9.570397,0.70079774,Elgar arranged this work for piano solo.
10035,Email and Mail Handling Systems,"""Mail handling equipment.""",9.161981,2.8465931,Mail handling equipment.
10036,Born Individuals (Across Different Professions),"""Kausha Rach (born 15 August 1986) is an Indian film actress.""",12.890015,7.209878,Kausha Rach (born 15 August 1986) is an Indian film actress.
10037,"Results, Achievements, Outcomes","""The result is the same.""",13.57305,2.4991124,The result is the same.
10038,"Individuals, Historical Figures, Associations (names)","""The film also stars Kathy Bates and Martin Sheen.""",9.594891,8.778687,The film also stars Kathy Bates and Martin Sheen.
10039,"Narratives, Stories, Telling","""There is no story, as such.""",9.577775,0.66590786,"There is no story, as such."
10040,"Competition Formats, Elimination Contests, Challenges (Games and Events)","""It was also known as Duel in the City.""",12.579666,3.469173,It was also known as Duel in the City.
10041,Allergy-related Topics,"""It is not recommended in people with a history of a severe penicillin allergy.""",9.256266,3.97048,It is not recommended in people with a history of a severe penicillin allergy.
10042,"Live events in Japan, Sports competitions, Media releases in Japan","""On July 27, 2006, WAR staged a reunion show at Tokyo Korakuen Hall.""",12.815855,1.5063912,"On July 27, 2006, WAR staged a reunion show at Tokyo Korakuen Hall."
10043,"Contemporary, Music, Media (or Art)","""Four galleries are devoted to contemporary art.""",9.218754,0.056105044,Four galleries are devoted to contemporary art.
10044,"Locations in Various Regions, Particularly Aberdeen","""This is around twice the average in Aberdeen City.""",11.977799,6.641411,This is around twice the average in Aberdeen City.
10045,"Unconventional Figures or Actions, Media or Art, Historical Events or Characters","""Panda, Gorilla & Co. is a German television series.""",12.059865,7.084931,"Panda, Gorilla & Co. is a German television series."
10046,"Individuals, Locations, Art and Literature","""Burton is a visiting lecturer at Kingston University, London.""",9.472965,9.069153,"Burton is a visiting lecturer at Kingston University, London."
10047,"Books, Numbers, Events (Historical or Competitions)","""Psalm 112 is the 112th psalm from the Book of Psalms.""",7.9762406,1.867148,Psalm 112 is the 112th psalm from the Book of Psalms.
10048,"Films, Games, Sports","""Jina Sikho is a Bollywood film.""",9.789619,4.907323,Jina Sikho is a Bollywood film.
10049,"Northwest England Locations, English Hamlets, Geographical Entities","""The family had originally been farmers in Cumbria.""",9.433375,8.620922,The family had originally been farmers in Cumbria.
10050,"Celebrities, Television Appearances, and Events","""Internet correspondents posed questions for the celebrities.""",9.4959755,0.7171542,Internet correspondents posed questions for the celebrities.
10051,"Genes, Locations, Species (or entities)","""A pseudogene has been identified on chromosome 3q29.""",7.3015146,4.060276,A pseudogene has been identified on chromosome 3q29.
10052,"Assistance, Support, Empowerment","""Robot pets also keep elderly people from being depressed and also keep them active.""",9.415248,2.824599,Robot pets also keep elderly people from being depressed and also keep them active.
10053,"Historical, Buildings/Locations, Closures/Renamings","""Airport operations ended in 1945.""",11.978744,1.1966212,Airport operations ended in 1945.
10054,"Rankings by Various Entities (International, National, Regional, etc.)","""These are the international rankings of Pakistan.""",9.876118,-1.2215952,These are the international rankings of Pakistan.
10055,"Geographical Locations, Educational Institutions, and Administrative Entities","""There is one central graveyard that is situated with Islamabad Highway or GT.""",10.613542,8.630746,There is one central graveyard that is situated with Islamabad Highway or GT.
10056,"Township locations, United States","""Harrison Township is one of eleven townships in Clay County, Indiana.""",6.864881,8.383221,"Harrison Township is one of eleven townships in Clay County, Indiana."
10057,"Software Applications, Systems, Risk, Engineering, and Emerging Technologies","""It works on Windows, Linux, and other real-time and embedded operating systems.""",9.167729,3.4560094,"It works on Windows, Linux, and other real-time and embedded operating systems."
10058,"Titles, Locations, Cultural References","""Marry The Night.""",8.607564,1.4848536,Marry The Night.
10059,"Geographical Locations, Individuals, Associations","""Langfield played for Scotland in a B international.""",9.651229,7.033318,Langfield played for Scotland in a B international.
10060,International Football Caps,"""He has 12 Wales Under-21 caps.""",13.01273,4.0754423,He has 12 Wales Under-21 caps.
10061,Electronic Devices and Products,"""Its manufacturing factory was sold to Sony in 2005.""",8.468288,3.5482683,Its manufacturing factory was sold to Sony in 2005.
10062,"Potato/Latvia Connection, Historical Context, Cultural Topics","""Latvia won their 13th title.""",11.410342,6.302425,Latvia won their 13th title.
10063,"Professional Athletes (Football, Rugby, Soccer, Gridiron, Rugby League)","""Tyler Carlton Weir (born 21 December 1990) is an English professional footballer who plays for Worcester City.""",13.5141735,5.348989,Tyler Carlton Weir (born 21 December 1990) is an English professional footballer who plays for Worcester City.
10064,"Elected Councilors, Ward System, Boundary Changes","""Since the last boundary changes in 2002, 47 councilors have been elected from 25 wards.""",6.781282,6.926685,"Since the last boundary changes in 2002, 47 councilors have been elected from 25 wards."
10065,"Species distribution, across various global locations","""Twenty species are recorded from Costa Rica.""",7.3183646,5.0599155,Twenty species are recorded from Costa Rica.
10066,Kiss-Related Titles or References,"""Kiss was generally positively reviewed by critics.""",10.821744,9.159889,Kiss was generally positively reviewed by critics.
10067,Number of components or entities,"""The league comprises six universities.""",7.6618085,1.323506,The league comprises six universities.
10068,"Film casts, diverse actors, leading roles","""This film stars Max Mok and Chin Kar Lok.""",9.838194,0.061897878,This film stars Max Mok and Chin Kar Lok.
10069,"Military Personnel, War Movements, Migration","""Where Have All the Soldiers Gone?""",10.839551,2.9512317,Where Have All the Soldiers Gone?
10070,"Music Releases, Bands, Record Labels","""The album is the second and final release through Jive Records.""",11.132428,-0.95354766,The album is the second and final release through Jive Records.
10071,"Mines, Global Locations, Various Resources","""The mine is located in Sotkamo in Kainuu region of Finland.""",9.059358,5.1503015,The mine is located in Sotkamo in Kainuu region of Finland.
10072,Real Estate Activities,"""Shaffi has also worked in the Real Estate sector, along with his brothers.""",7.892101,4.002053,"Shaffi has also worked in the Real Estate sector, along with his brothers."
10073,Australia-Centric Topics,"""Initially the Australian states retained significant independence.""",13.437498,5.307586,Initially the Australian states retained significant independence.
10074,"English/Historical/Geographical References, Companies/Organizations, Individuals","""Entwistle is an English surname.""",11.722272,6.404891,Entwistle is an English surname.
10075,"Breast-related topics, including health, sports, and nursing","""Use in pregnancy and breastfeeding is safe.""",8.510873,6.0024223,Use in pregnancy and breastfeeding is safe.
10076,"Studios, locations, productions","""The studios are located in Valencia, California.""",10.625346,-0.4865459,"The studios are located in Valencia, California."
10077,Entities were founded or launched (years provided),"""The club was founded in 1996.""",12.206471,0.85094124,The club was founded in 1996.
10078,"Individuals or entities with names starting with 'I', Geographical locations","""Ibrahim is the current Melkite Greek Catholic bishop of Canada.""",10.943837,5.1101594,Ibrahim is the current Melkite Greek Catholic bishop of Canada.
10079,"Subjective Identification: This list includes various subjects, but the common theme is: ""Identified Entities or Occurrences.""","""This is autism.""",8.918834,1.4875903,This is autism.
10080,Locations in United States,"""The event took place on February 21, 1998 at the ECW Arena in Philadelphia, Pennsylvania.""",12.608656,1.5473583,"The event took place on February 21, 1998 at the ECW Arena in Philadelphia, Pennsylvania."
10081,"Unincorporated Communities, Mid-named Entities, Mid-related Entities","""New Midway is an unincorporated community in Frederick County, Maryland, United States.""",12.178918,7.1818156,"New Midway is an unincorporated community in Frederick County, Maryland, United States."
10082,"Spring Events and Dates, Literature, Timelines (Dates and Sequences)","""It runs from April to June.""",12.402642,0.31080338,It runs from April to June.
10083,"Mottoes, Slogans, Taglines, Aspiration","""Its slogan is \""Hot New Country.\""""",9.0213375,0.9245395,"Its slogan is ""Hot New Country."""
10084,"Produced, Created, or Written Media (e.g., Studios, Albums, Series, Show, Books)","""Studios and written by Howard Chaykin.""",10.022574,0.3582729,Studios and written by Howard Chaykin.
10085,"Established, Merged, or Founded in Specific Years","""It was described by Kirschenhofer in 1992.""",12.799245,0.977206,It was described by Kirschenhofer in 1992.
10086,Family Lineage and Descendants,"""Edmund's other children included William and Edmund.""",14.791048,3.9950962,Edmund's other children included William and Edmund.
10087,Geographical Valleys and Associated Entities,"""The K-12 Kings Valley Charter School is located in Kings Valley.""",11.651584,9.212584,The K-12 Kings Valley Charter School is located in Kings Valley.
10088,"Self-sufficient, Nomadic, Cultural Practices","""They built their own tools for the work.""",9.4827385,1.4826201,They built their own tools for the work.
10089,Last Releases with Band Members/Labels,"""It was his last release with No Limit Records.""",11.496464,1.6304893,It was his last release with No Limit Records.
10090,"Professional Wrestling Championships, Titles, Matches","""The NECW Triple Crown Heavyweight Championship is the top professional wrestling title in New England Championship Wrestling.""",6.1070085,5.6346874,The NECW Triple Crown Heavyweight Championship is the top professional wrestling title in New England Championship Wrestling.
10091,Geographical Entities or Names,"""In Sri Lanka it is known as surul appam.""",10.6567,7.0362773,In Sri Lanka it is known as surul appam.
10092,"Manchester, United Kingdom (or Greater Manchester) Focus","""Additionally, data is produced for the Greater Manchester Urban Area.""",7.8269243,8.222907,"Additionally, data is produced for the Greater Manchester Urban Area."
10093,Flat Locations/Spaces,"""Flatworld is a 1997 animated short directed by Daniel Greaves.""",8.107691,4.4853535,Flatworld is a 1997 animated short directed by Daniel Greaves.
10094,"Individuals or Titles with ""Ronnie"", ""Connie"", ""Jeannie"", ""Bennie"", ""Bonnie"", ""Lonnie"", and ""Renman""","""Connie Deanovich (born 1960) is an American poet.""",9.740292,8.511895,Connie Deanovich (born 1960) is an American poet.
10095,Established Publications and Research Studies,"""It is adapted from a 2010 article by David Barstow, David Rohde, and Stephanie Saul.""",12.131422,0.6643699,"It is adapted from a 2010 article by David Barstow, David Rohde, and Stephanie Saul."
10096,"Geographical Locations, Names, and Companies","""Campagna Motors, was founded in 1988 in the Province of Quebec, Canada.""",10.909338,7.766831,"Campagna Motors, was founded in 1988 in the Province of Quebec, Canada."
